SourceText,text,type,note
"Hello! Managing our children's behaviour can be challenging…even in the best of times. We sometimes do not notice when our children are behaving well. But when they are misbehaving, it can be a nightmare!","Hello! Managing our children's behaviour can be challenging…even in the best of times. We sometimes do not notice when our children are behaving well. But when they are misbehaving, it can be a nightmare!",text,
Today's Tip is all about Child Behaviour. There are 2 main ways that we can do to help our children behave positively more often.,Today's Tip is all about Child Behaviour. There are 2 main ways that we can do to help our children behave positively more often.,text,
"First, we can find ways to encourage our children to behave well more often. Spending One-on-One Time with them is an important first step! ","First, we can find ways to encourage our children to behave well more often. Spending One-on-One Time with them is an important first step! ",text,
"Second, we can learn effective ways to manage difficult behaviours in a loving but firm way.","Second, we can learn effective ways to manage difficult behaviours in a loving but firm way.",text,
"These suggestions are from over 50 years of research on what works. But don't take our word for it, try them out and decide for yourself. And remember...practice makes perfect!","These suggestions are from over 50 years of research on what works. But don't take our word for it, try them out and decide for yourself. And remember...practice makes perfect!",text,
Hello! Our children and teens are now spending a lot more time online. Being connected helps them reduce the impact of COVID-19 and encourages them to continue with their lives…but it also presents risks and dangers.,Hello! Our children and teens are now spending a lot more time online. Being connected helps them reduce the impact of COVID-19 and encourages them to continue with their lives…but it also presents risks and dangers.,text,
Hello! Today's tip is about how we can help our children learn how to solve problems and conflicts.,Hello! Today's tip is about how we can help our children learn how to solve problems and conflicts.,text,
"Remember that you can also change the type of messages you receive for an older or younger child. Just select ""Tech Support."" Chat to you later!","Remember that you can also change the type of messages you receive for an older or younger child. Just select ""Tech Support."" Chat to you later!",text,
"Hello! All children misbehave sometimes. It is normal when they are tired, scared, hungry, or learning independence. Today's tips are all about what to do when our children misbehave…","Hello! All children misbehave sometimes. It is normal when they are tired, scared, hungry, or learning independence. Today's tips are all about what to do when our children misbehave…",text,
"Hello! COVID-19 has interrupted our daily work, home and school routines. This is hard for children, teenagers and for you. Making new routines can help.","Hello! COVID-19 has interrupted our daily work, home and school routines. This is hard for children, teenagers and for you. Making new routines can help.",text,
Today's Parenting Tip is about how we can create daily routines to keep our children feeling safe and secure.,Today's Parenting Tip is about how we can create daily routines to keep our children feeling safe and secure.,text,
"That's okay! You can always type ""Help"" at anytime if you need any support with your children. Remember that you can also change the type of messages you receive for an older or younger child. Just select ""Technical Support"". Chat to you later!","That's okay! You can always type ""Help"" at anytime if you need any support with your children. Remember that you can also change the type of messages you receive for an older or younger child. Just select ""Technical Support"". Chat to you later!",text,
"Routines will make your children feel safe and secure. Try to have regular mealtimes and bedtimes. Remember to schedule One-on-One time with your children, too!","Routines will make your children feel safe and secure. Try to have regular mealtimes and bedtimes. Remember to schedule One-on-One time with your children, too!",text,
Did you know that teens actually like having responsibilities? It makes them feel more independent and grown up. Allow your teen to choose a special job that helps out.,Did you know that teens actually like having responsibilities? It makes them feel more independent and grown up. Allow your teen to choose a special job that helps out.,text,
"As your teen shows more responsibility, you can also give them extra privileges. Try to share responsibilities equally amongst women/men and girls/boys. Praise your teen whenever they do their job!","As your teen shows more responsibility, you can also give them extra privileges. Try to share responsibilities equally amongst women/men and girls/boys. Praise your teen whenever they do their job!",text,
"When you teach your children about safe distancing, you keep your whole family safe. You keep others safe, too!","When you teach your children about safe distancing, you keep your whole family safe. You keep others safe, too!",text,
"You can even make safe distancing into a game where children earn points for keeping at least 1 metre away from others in public. The one with the most points can win a simple, free reward like extra One-on-One Time","You can even make safe distancing into a game where children earn points for keeping at least 1 metre away from others in public. The one with the most points can win a simple, free reward like extra One-on-One Time",text,
"We are models of our children's behaviour. If we practice keeping safe distances, handwashing and treat others with compassion, our children and teenagers will do the same.","We are models of our children's behaviour. If we practice keeping safe distances, handwashing and treat others with compassion, our children and teenagers will do the same.",text,
"Children see and children do,","Children see and children do,",text,
"They like to be like me and you,","They like to be like me and you,",text,
"What you do and what you say,","What you do and what you say,",text,
Will help to shape them everyday!,Will help to shape them everyday!,text,
Hello! Today's Parenting Tip is about how we can involve our children in creating consistent household rules.,Hello! Today's Parenting Tip is about how we can involve our children in creating consistent household rules.,text,
Household rules can help keep our children safe from potential dangers both inside the house and in the community. They also help children to know what kind of behaviour is expected from them. ,Household rules can help keep our children safe from potential dangers both inside the house and in the community. They also help children to know what kind of behaviour is expected from them. ,text,
Here are some simple tips on how you can make household rules with your children and teens: ,Here are some simple tips on how you can make household rules with your children and teens: ,text,
• Involve your child in establishing household rules.,• Involve your child in establishing household rules.,text,
• Make your household rules clear and specific.,• Make your household rules clear and specific.,text,
• Make sure your child understands the reasons why you are establishing a household rule.,• Make sure your child understands the reasons why you are establishing a household rule.,text,
• Make your household rules fair and realistic (just like instructions).,• Make your household rules fair and realistic (just like instructions).,text,
• Praise and simple incentives can help support your child in following a household rule.,• Praise and simple incentives can help support your child in following a household rule.,text,
• Add only 1 household rule at a time.,• Add only 1 household rule at a time.,text,
"Well done! You have added another tool to your Parenting Toolkit. Remember when you involve your children in establishing household rules, they are more likely to follow them. Try to be consistent and positive.","Well done! You have added another tool to your Parenting Toolkit. Remember when you involve your children in establishing household rules, they are more likely to follow them. Try to be consistent and positive.",text,
Today's Tip is about how we can help to protect our children.,Today's Tip is about how we can help to protect our children.,text,
"The idea of talking to children about abuse can be scary. We don't know what to say. But there are some simple things can help them understand when it is not OK to be touched, and that they can tell you if something ever happens. ","The idea of talking to children about abuse can be scary. We don't know what to say. But there are some simple things can help them understand when it is not OK to be touched, and that they can tell you if something ever happens. ",text,
When you are walking or doing something together it can be easier to chat. ,When you are walking or doing something together it can be easier to chat. ,text,
Do you want to learn more about how to protect your child from abuse?,Do you want to learn more about how to protect your child from abuse?,text,
Here are 3 things that you should make sure your child knows to protect them from abuse:,Here are 3 things that you should make sure your child knows to protect them from abuse:,text,
1. Learn about private parts,1. Learn about private parts,text,
2. Your body belongs to you,2. Your body belongs to you,text,
3. Bad secrets should be told,3. Bad secrets should be told,text,
"Type ""1"" to 3"" to learn more about these tips. Type ""N"" to stop this tip.","Type ""1"" to 3"" to learn more about these tips. Type ""N"" to stop this tip.",text,
"The parts of their body that go under people's underwear or a swimsuit are private parts. It is not OK for other people to touch or to ask to look at them, or ask them to look at or touch theirs.","The parts of their body that go under people's underwear or a swimsuit are private parts. It is not OK for other people to touch or to ask to look at them, or ask them to look at or touch theirs.",text,
If someone tries to touch your children's private parts they must say NO and tell a grown up that they trust. ,If someone tries to touch your children's private parts they must say NO and tell a grown up that they trust. ,text,
3. Bad secrets should be told. ,3. Bad secrets should be told. ,text,
Your children should tell you if there is a secret that makes them feel worried. You will not be angry. Only nice secrets - like a surprise birthday party - should be kept secret. ,Your children should tell you if there is a secret that makes them feel worried. You will not be angry. Only nice secrets - like a surprise birthday party - should be kept secret. ,text,
Do you want to go back and learn more about how to protect your child from abuse?,Do you want to go back and learn more about how to protect your child from abuse?,text,
"Hello! We love our children and teenagers, but stress from caregiving, money, and COVID-19 can make us angry. Here is how we can maintain control and keep calm.","Hello! We love our children and teenagers, but stress from caregiving, money, and COVID-19 can make us angry. Here is how we can maintain control and keep calm.",text,
Stop the river at the source. The same things usually make us get stressed and angry every time. What makes you angry? When does it happen? How do you normally react?,Stop the river at the source. The same things usually make us get stressed and angry every time. What makes you angry? When does it happen? How do you normally react?,text,
Prevent anger from starting in the first place. Get some sleep or rest when you are tired. Try to eat something when you are hungry. Ask someone for support when you are feeling alone.,Prevent anger from starting in the first place. Get some sleep or rest when you are tired. Try to eat something when you are hungry. Ask someone for support when you are feeling alone.,text,
Here are some things that can help make it less likely that bad things happen when you are angry: ,Here are some things that can help make it less likely that bad things happen when you are angry: ,text,
"That's okay! You can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress. Chat to you later!","That's okay! You can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress. Chat to you later!",text,
"1. Cut back on drinking alcohol or don’t drink, especially when the kids are awake.","1. Cut back on drinking alcohol or don’t drink, especially when the kids are awake.",text,
"2. Do you have weapons or things  that can be used to hurt others?  Lock them up, hide them or take them out of the home.","2. Do you have weapons or things  that can be used to hurt others?  Lock them up, hide them or take them out of the home.",text,
3. It’s ok to have your children stay somewhere safe or take them to a place where they can get help.,3. It’s ok to have your children stay somewhere safe or take them to a place where they can get help.,text,
Well done! You have added another skill to your Parenting Toolkit. Learning how to manage your anger can help you  avoid some difficult situations. ,Well done! You have added another skill to your Parenting Toolkit. Learning how to manage your anger can help you  avoid some difficult situations. ,text,
Would you like some other relaxation activities?,Would you like some other relaxation activities?,text,
Hi! Managing anger can be really difficult. Take a break when you feel you are getting angry at your children or someone else.,Hi! Managing anger can be really difficult. Take a break when you feel you are getting angry at your children or someone else.,text,
"Go somewhere else for 5 minutes to regain control of your emotions. If you have safe outdoor space, go outside. You can get through this!","Go somewhere else for 5 minutes to regain control of your emotions. If you have safe outdoor space, go outside. You can get through this!",text,
Would you like some suggestions for other relaxation activities?,Would you like some suggestions for other relaxation activities?,text,
"Hi! Did you know that research shows if you control your anger or do something positive, you increase your child's brain development? Be proud of yourself when you manage to do it!","Hi! Did you know that research shows if you control your anger or do something positive, you increase your child's brain development? Be proud of yourself when you manage to do it!",text,
"If you are getting angry because your baby won’t stop crying, it’s OK to leave them on their back in a safe location, like a crib, and walk away for a bit. Check on your baby every 5-10 minutes.","If you are getting angry because your baby won’t stop crying, it’s OK to leave them on their back in a safe location, like a crib, and walk away for a bit. Check on your baby every 5-10 minutes.",text,
"Hi! When you take care of yourself, you take care of your children. We all need to connect. Try to talk to friends, family, and other support networks every day. If it has been a while since you reached out to someone, do it now!","Hi! When you take care of yourself, you take care of your children. We all need to connect. Try to talk to friends, family, and other support networks every day. If it has been a while since you reached out to someone, do it now!",text,
Would you like some  other relaxation activities?,Would you like some  other relaxation activities?,text,
"Hi! How are you doing? If you are feeling overwhelmed or stressed, take a break!  When your children are asleep, do something fun or relaxing for yourself. You deserve it!","Hi! How are you doing? If you are feeling overwhelmed or stressed, take a break!  When your children are asleep, do something fun or relaxing for yourself. You deserve it!",text,
Make a list of healthy activities that you like to do. Here are some suggestions:,Make a list of healthy activities that you like to do. Here are some suggestions:,text,
Listening to your favourite music,Listening to your favourite music,text,
• Going for a walk (if allowed),• Going for a walk (if allowed),text,
• Doing some exercise,• Doing some exercise,text,
• Drinking a cup of tea by yourself,• Drinking a cup of tea by yourself,text,
• Calling up a friend,• Calling up a friend,text,
"• Singing, dancing, praying, or reading","• Singing, dancing, praying, or reading",text,
• Sitting in the sun with your eyes closed,• Sitting in the sun with your eyes closed,text,
• Watching your favourite T.V. show,• Watching your favourite T.V. show,text,
Pick one and do it today!,Pick one and do it today!,text,
"Hello! How are you feeling? If you are feeling overwhelmed or stressed, here is a short activity that can help when you are feeling like needing some more support to get through the day.","Hello! How are you feeling? If you are feeling overwhelmed or stressed, here is a short activity that can help when you are feeling like needing some more support to get through the day.",text,
Recognise what is happening for you in this moment. What are you thinking? Are your thoughts positive or negative. How do you feel? Do you feel pleasant or unpleasant? How does your body feel? Do you feel tense or relaxed? ,Recognise what is happening for you in this moment. What are you thinking? Are your thoughts positive or negative. How do you feel? Do you feel pleasant or unpleasant? How does your body feel? Do you feel tense or relaxed? ,text,
Sit comfortably and close your eyes. Connect to your heart in a kind and gentle way. You may want to place one hand on your heart or chest. Say the following words silently to yourself:,Sit comfortably and close your eyes. Connect to your heart in a kind and gentle way. You may want to place one hand on your heart or chest. Say the following words silently to yourself:,text,
May I be happy.,May I be happy.,text,
May there be love in my family.,May there be love in my family.,text,
May I feel loved.,May I feel loved.,text,
May I be peaceful.,May I be peaceful.,text,
May I be safe.,May I be safe.,text,
May I be healthy.,May I be healthy.,text,
"Before you open your eyes, take a moment to reflect on your experience. Notice if you feel any different.","Before you open your eyes, take a moment to reflect on your experience. Notice if you feel any different.",text,
"Here is a link other support that may help you cope with any stress or other emotional difficulties that you may be experiencing. If you ever need this link, type ""Help"". Chat to you later!","Here is a link other support that may help you cope with any stress or other emotional difficulties that you may be experiencing. If you ever need this link, type ""Help"". Chat to you later!",text,
*Referral to local mental health services hotline in country*,*Referral to local mental health services hotline in country*,text,
"Hello! How are you feeling? If you are feeling overwhelmed or stressed, here's a fun activity that can also release some stress.","Hello! How are you feeling? If you are feeling overwhelmed or stressed, here's a fun activity that can also release some stress.",text,
Stand up and stretch your arms up to the sky. Push away any clouds and let the sun shine down on you. Stretch to both sides. Stretch to the front and to the back.,Stand up and stretch your arms up to the sky. Push away any clouds and let the sun shine down on you. Stretch to both sides. Stretch to the front and to the back.,text,
"Let your hand hang by your side. Squeeze your shoulders tightly up to your ears as you breathe in, scrunch your eyes, and hold your breath. Release your shoulders as you relax your body.","Let your hand hang by your side. Squeeze your shoulders tightly up to your ears as you breathe in, scrunch your eyes, and hold your breath. Release your shoulders as you relax your body.",text,
"Relax your arms and let your arms to swing sideways, and turn your upper body. Your arms should gently hit your back as you twist from side to side.","Relax your arms and let your arms to swing sideways, and turn your upper body. Your arms should gently hit your back as you twist from side to side.",text,
Close your eyes and raise your arms slowly above your head as you breathe in. Lower your arms slowly to your side as you breathe out.,Close your eyes and raise your arms slowly above your head as you breathe in. Lower your arms slowly to your side as you breathe out.,text,
Well done! You have added another skill to your Parenting Toolkit. Physical exercise is a great way to reduce stress and keep healthy. You can do this activity at any time whenever you feel like you need to release stress and energise your mind and body.,Well done! You have added another skill to your Parenting Toolkit. Physical exercise is a great way to reduce stress and keep healthy. You can do this activity at any time whenever you feel like you need to release stress and energise your mind and body.,text,
"Place one foot in front of the other and make small circles from ankles, remember to turn to both sides. Do each foot with four circles in each direction.","Place one foot in front of the other and make small circles from ankles, remember to turn to both sides. Do each foot with four circles in each direction.",text,
Take a moment to reflect on your experience. ,Take a moment to reflect on your experience. ,text,
Now shake your whole body as fast as you can. Shake it up high! Shake it down low! Shake it all around!,Now shake your whole body as fast as you can. Shake it up high! Shake it down low! Shake it all around!,text,
"That's okay! You can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress.","That's okay! You can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress.",text,
"Hello! How are you feeling right now? Happy, sad, angry, excited, worried?","Hello! How are you feeling right now? Happy, sad, angry, excited, worried?",text,
Notice where you feel it in your body. Notice what thoughts are connected to that feeling. Take a deep breath.,Notice where you feel it in your body. Notice what thoughts are connected to that feeling. Take a deep breath.,text,
"Thank yourself for taking the time to check in with your feelings and thoughts! Remember, you can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress. Chat later!","Thank yourself for taking the time to check in with your feelings and thoughts! Remember, you can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress. Chat later!",text,
Hi! How are you feeling right now? Are you feeling stressed and worried? Have you only got 30 seconds? Let's take a quick pause together. It might be helpful.,Hi! How are you feeling right now? Are you feeling stressed and worried? Have you only got 30 seconds? Let's take a quick pause together. It might be helpful.,text,
"Sit down, close your eyes and listen to your breath as it goes in and out. Notice how you feel. When you are ready open your eyes again. Everything is okay. ","Sit down, close your eyes and listen to your breath as it goes in and out. Notice how you feel. When you are ready open your eyes again. Everything is okay. ",text,
Would you like other relaxation activities?,Would you like other relaxation activities?,text,
Hello! Did you know that 3 is a magical number? Breathe in to the count of three and breathe out to the count of three. How do you feel now? Do you feel any different?,Hello! Did you know that 3 is a magical number? Breathe in to the count of three and breathe out to the count of three. How do you feel now? Do you feel any different?,text,
What are your three favourite foods? Can you name three things you can see right now? Can you hear three sounds you can hear right now? What are three things you are grateful for right now? ,What are your three favourite foods? Can you name three things you can see right now? Can you hear three sounds you can hear right now? What are three things you are grateful for right now? ,text,
Breathe in to the count of three and breathe out to the count of three? How do you feel now? Do you feel any different? Three is a magical number!,Breathe in to the count of three and breathe out to the count of three? How do you feel now? Do you feel any different? Three is a magical number!,text,
"You can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress. Chat to you later!","You can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress. Chat to you later!",text,
"Hello! This is a stressful time, especially for parents. When we are stressed or angry, we do not make the best decisions. Taking the time to care for ourselves will help us care for our children.","Hello! This is a stressful time, especially for parents. When we are stressed or angry, we do not make the best decisions. Taking the time to care for ourselves will help us care for our children.",text,
Today's tip is about how to keep calm and manage stress in our busy lives. ,Today's tip is about how to keep calm and manage stress in our busy lives. ,text,
Hi! Were you able to spend 5 minutes or more of One-on-One Time with your children today?,Hi! Were you able to spend 5 minutes or more of One-on-One Time with your children today?,text,
Good for you! One-on-One Time shows your children that they are important to you. It really makes a difference!,Good for you! One-on-One Time shows your children that they are important to you. It really makes a difference!,text,
Wonderful! Spending One-on-One Time with your children may make them more willing to help out more often. You are doing great!,Wonderful! Spending One-on-One Time with your children may make them more willing to help out more often. You are doing great!,text,
Well done! One-on-One with your children gives you a chance to learn more about your their interests and abilities. You are a star!,Well done! One-on-One with your children gives you a chance to learn more about your their interests and abilities. You are a star!,text,
Excellent job! One-on-One Time helps build a strong positive relationship between you and your children. Try to do it every day!,Excellent job! One-on-One Time helps build a strong positive relationship between you and your children. Try to do it every day!,text,
Thank you for making the effort to show your children that they are loved and valued. You deserve a gold star!,Thank you for making the effort to show your children that they are loved and valued. You deserve a gold star!,text,
We understand that spending One-on-One Time can sometimes be difficult. Here are some of the main reasons parents struggle. Please choose the closest to you.,We understand that spending One-on-One Time can sometimes be difficult. Here are some of the main reasons parents struggle. Please choose the closest to you.,text,
1 Not enough time,1 Not enough time,text,
2 My child did not want to spend time with me,2 My child did not want to spend time with me,text,
3 All my child wanted to do is watch T.V. or play with a gadget,3 All my child wanted to do is watch T.V. or play with a gadget,text,
4 My child wanted to do things I felt uncomfortable about,4 My child wanted to do things I felt uncomfortable about,text,
5 My child wanted to do activities that I could not do,5 My child wanted to do activities that I could not do,text,
6 My child chose a competitive activity. I won and then they got angry,6 My child chose a competitive activity. I won and then they got angry,text,
7 My child had a tantrum at the end of One-on-One Time,7 My child had a tantrum at the end of One-on-One Time,text,
8 My child wanted to do too many things at once,8 My child wanted to do too many things at once,text,
9 All my children wanted One-on-One Time at the same time,9 All my children wanted One-on-One Time at the same time,text,
111 Other,111 Other,text,
999 Prefer not to say,999 Prefer not to say,text,
Would you like some new activities to do with your children?,Would you like some new activities to do with your children?,text,
"We are sorry to hear that you have been having some difficulties spending One-on-One Time with your children. Please type ""Help"" for other advice that might be of use to you. Thank you for trying your best!","We are sorry to hear that you have been having some difficulties spending One-on-One Time with your children. Please type ""Help"" for other advice that might be of use to you. Thank you for trying your best!",text,
"It can be hard to find time during your day, with work, chores, and everything else. Can you think of a time each day that you can make 5 minutes or a bit more? You can even make household chores into a game to do together. Even 5 minutes can make a big difference! ","It can be hard to find time during your day, with work, chores, and everything else. Can you think of a time each day that you can make 5 minutes or a bit more? You can even make household chores into a game to do together. Even 5 minutes can make a big difference! ",text,
It can make you feel bad if your children do not want to spend One-on-One Time you. Think to yourself: When are they more open to you? Maybe in the morning or right before bedtime.,It can make you feel bad if your children do not want to spend One-on-One Time you. Think to yourself: When are they more open to you? Maybe in the morning or right before bedtime.,text,
"Children often to want to spend time watching T.V. or playing with a gadget. Sometimes you might want to give them some other fun options to do instead (Type: ""Help"" if you want a suggestion).","Children often to want to spend time watching T.V. or playing with a gadget. Sometimes you might want to give them some other fun options to do instead (Type: ""Help"" if you want a suggestion).",text,
"If your child wants to do things that are too difficult for you to physically do, you can simply watch your child. Try describing what they are doing like a sports announcer and praising what they do!","If your child wants to do things that are too difficult for you to physically do, you can simply watch your child. Try describing what they are doing like a sports announcer and praising what they do!",text,
"Competitive games can be challenging for children (and adults!) if they have difficulty losing. You may want to suggest other activities that you can play together instead of against each other (Type ""Help"" if you want a suggestion"").","Competitive games can be challenging for children (and adults!) if they have difficulty losing. You may want to suggest other activities that you can play together instead of against each other (Type ""Help"" if you want a suggestion"").",text,
"If your child is very young, it is normal for them to have a short attention span and want to do many things during One-on-One Time. Just accept your child and follow their lead moving from one activity to the next.","If your child is very young, it is normal for them to have a short attention span and want to do many things during One-on-One Time. Just accept your child and follow their lead moving from one activity to the next.",text,
"You can also find something educational to do together with your child on the gadget. Or maybe ask your child to show you what is their favourite thing to do on the gadget. Just be patient. Soon they may open up to other activities, too!","You can also find something educational to do together with your child on the gadget. Or maybe ask your child to show you what is their favourite thing to do on the gadget. Just be patient. Soon they may open up to other activities, too!",text,
"Sometimes our children will suggest activities that are violent or unsafe. Explain why they can't, and try suggesting alternative activities that would be more appropriate. Type ""Help"" if you want a suggestion.","Sometimes our children will suggest activities that are violent or unsafe. Explain why they can't, and try suggesting alternative activities that would be more appropriate. Type ""Help"" if you want a suggestion.",text,
You can also just sit next to your child while they are doing something they enjoy (like watching a T.V. show) and show them that you are interested in what they like. If you take their lead they will see that you care.,You can also just sit next to your child while they are doing something they enjoy (like watching a T.V. show) and show them that you are interested in what they like. If you take their lead they will see that you care.,text,
"The end of One-on-One Time can sometimes be difficult for your child. Try giving your child a Transition Warning about a minute before the end of One-on-One Time: ""In one minute, One-on-One Time will be over and it will be time to wash our hands before dinner...""","The end of One-on-One Time can sometimes be difficult for your child. Try giving your child a Transition Warning about a minute before the end of One-on-One Time: ""In one minute, One-on-One Time will be over and it will be time to wash our hands before dinner...""",text,
"It can be difficult to spend One-on-One Time with each one child when you have more than one child. If possible, you can ask another adult or older sibling to look after the other children while you spend One-on-One Time with one child. ","It can be difficult to spend One-on-One Time with each one child when you have more than one child. If possible, you can ask another adult or older sibling to look after the other children while you spend One-on-One Time with one child. ",text,
"If your child is too young to understand how long a minute is, then you can set a number of time to repeat the activity: ""5 more tries and then it will be time for wash our hands before dinner…""","If your child is too young to understand how long a minute is, then you can set a number of time to repeat the activity: ""5 more tries and then it will be time for wash our hands before dinner…""",text,
"You can also think of times when it would be easier to spend One-on-One Time each child, like later in the evening with an older child after the others have gone to sleep.","You can also think of times when it would be easier to spend One-on-One Time each child, like later in the evening with an older child after the others have gone to sleep.",text,
"Only give the transition warning once. When One-on-One Time is over, thank your child for spending time with you. Then enthusiastically redirect your child to the next activity like washing hands before dinner.","Only give the transition warning once. When One-on-One Time is over, thank your child for spending time with you. Then enthusiastically redirect your child to the next activity like washing hands before dinner.",text,
You can also spend One-on-One Time with all of your children at once! ,You can also spend One-on-One Time with all of your children at once! ,text,
"Type ""Help"" for activities that you can do as a whole family","Type ""Help"" for activities that you can do as a whole family",text,
"We are glad to hear that. Remember, if you ever have any challenges, you can always type ""Help"" and we will try our best to help you out. Chat to you later!","We are glad to hear that. Remember, if you ever have any challenges, you can always type ""Help"" and we will try our best to help you out. Chat to you later!",text,
We are sorry to hear that this has not been helpful. Not all solutions work for everyone. Here are 6 steps that you can try to find a solution by yourself or with someone else:,We are sorry to hear that this has not been helpful. Not all solutions work for everyone. Here are 6 steps that you can try to find a solution by yourself or with someone else:,text,
1. Take a deep breath.,1. Take a deep breath.,text,
2. Explore the challenge. ,2. Explore the challenge. ,text,
3. Think of possible solutions. ,3. Think of possible solutions. ,text,
4. Choose a solution ,4. Choose a solution ,text,
6. Reflect on whether it worked. ,6. Reflect on whether it worked. ,text,
You should also praise yourself for trying. Parenting is not easy. You are a star just for showing up and caring. You can do it!,You should also praise yourself for trying. Parenting is not easy. You are a star just for showing up and caring. You can do it!,text,
"Remember, if you ever have any challenges, you can always type ""Help"" and we will try our best to help you out. Chat to you later!","Remember, if you ever have any challenges, you can always type ""Help"" and we will try our best to help you out. Chat to you later!",text,
Hello! How are you doing? We are so happy that you have signed up to receive these messages. It shows you care. ,Hello! How are you doing? We are so happy that you have signed up to receive these messages. It shows you care. ,text,
Today's tip is about spending One-on-One Time with Our Children.,Today's tip is about spending One-on-One Time with Our Children.,text,
Would like suggestions for active and calm things to do with your child?,Would like suggestions for active and calm things to do with your child?,text,
Baby,Baby,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Young child,Young child,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Teen,Teen,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Refuses to obey,Refuses to obey,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Gets angry often,Gets angry often,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
"Rudeness, disrespectful behaviour","Rudeness, disrespectful behaviour",quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Irritable or frequent mood changes,Irritable or frequent mood changes,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Does not follow rules,Does not follow rules,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Stubbornness,Stubbornness,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Breaking things,Breaking things,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Fighting with others,Fighting with others,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Teasing or bothering others,Teasing or bothering others,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Does not apply,Does not apply,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Temper tantrums,Temper tantrums,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Disrespectful behaviour,Disrespectful behaviour,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Whining,Whining,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
"Hyperactivity, can’t sit still","Hyperactivity, can’t sit still",quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Hitting others,Hitting others,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Crying a lot,Crying a lot,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Problems sleeping,Problems sleeping,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Clingy,Clingy,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Bad tempered or moody,Bad tempered or moody,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Problems eating,Problems eating,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Stubborn or fussy,Stubborn or fussy,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Naughty behaviour,Naughty behaviour,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Yes,Yes,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
No,No,quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Babies (0-2 years),Babies (0-2 years),quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Young children (2-9 years),Young children (2-9 years),quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
Teens (10-17 years),Teens (10-17 years),quick_replies,This is a quick reply and its translation should be uniquely identified by the corresponding argument
baby,baby,arguments,This is an argument and it may be used to identify a corresponding quick reply
young child,young child,arguments,This is an argument and it may be used to identify a corresponding quick reply
teen teenager,teen teenager,arguments,This is an argument and it may be used to identify a corresponding quick reply
a under,a under,arguments,This is an argument and it may be used to identify a corresponding quick reply
b 1 2,b 1 2,arguments,This is an argument and it may be used to identify a corresponding quick reply
c 3 4 5,c 3 4 5,arguments,This is an argument and it may be used to identify a corresponding quick reply
d 6 7 8 9,d 6 7 8 9,arguments,This is an argument and it may be used to identify a corresponding quick reply
e 10 11 12 13 14,e 10 11 12 13 14,arguments,This is an argument and it may be used to identify a corresponding quick reply
f 15 16 17 18,f 15 16 17 18,arguments,This is an argument and it may be used to identify a corresponding quick reply
g 19 20 21 22 23,g 19 20 21 22 23,arguments,This is an argument and it may be used to identify a corresponding quick reply
"obey,temper,tantrums,disrespectful,whining ","obey,temper,tantrums,disrespectful,whining ",arguments,This is an argument and it may be used to identify a corresponding quick reply
"hyperactivity,still","hyperactivity,still",arguments,This is an argument and it may be used to identify a corresponding quick reply
"hitting,breaking,fighting,teasing,bothering ","hitting,breaking,fighting,teasing,bothering ",arguments,This is an argument and it may be used to identify a corresponding quick reply
